Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly ($),Married Filing Separately (Rates/Brackets),,Married Filing Separately ($),Single Filer (Rates/Brackets),,Single Filer ($),Head of Household (Rates/Brackets),,Head of Household ($),Notes:
1925,16.00%,>,"$40,000 ",16.00%,>,"$40,000 ",16.00%,>,"$40,000 ",16.00%,>,"$40,000 ",
1925,17.00%,>,"$44,000 ",17.00%,>,"$44,000 ",17.00%,>,"$44,000 ",17.00%,>,"$44,000 ",
1925,18.00%,>,"$48,000 ",18.00%,>,"$48,000 ",18.00%,>,"$48,000 ",18.00%,>,"$48,000 ",
1925,19.00%,>,"$52,000 ",19.00%,>,"$52,000 ",19.00%,>,"$52,000 ",19.00%,>,"$52,000 ",
1925,20.00%,>,"$56,000 ",20.00%,>,"$56,000 ",20.00%,>,"$56,000 ",20.00%,>,"$56,000 ",
1925,21.00%,>,"$60,000 ",21.00%,>,"$60,000 ",21.00%,>,"$60,000 ",21.00%,>,"$60,000 ",
1925,22.00%,>,"$64,000 ",22.00%,>,"$64,000 ",22.00%,>,"$64,000 ",22.00%,>,"$64,000 ",
1925,23.00%,>,"$70,000 ",23.00%,>,"$70,000 ",23.00%,>,"$70,000 ",23.00%,>,"$70,000 ",
1925,24.00%,>,"$80,000 ",24.00%,>,"$80,000 ",24.00%,>,"$80,000 ",24.00%,>,"$80,000 ",
1925,25.00%,>,"$100,000 ",25.00%,>,"$100,000 ",25.00%,>,"$100,000 ",25.00%,>,"$100,000 ",
,,,,,,,,,,,,,
1924,2.00%,>,$0 ,2.00%,>,$0 ,2.00%,>,$0 ,2.00%,>,$0 ,"Tax rates include normal taxes of 1.5 percent on the first $4,000 of taxable income, 3 percent on the next $4,000, and 5 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1924."
1924,4.00%,>,"$4,000 ",4.00%,>,"$4,000 ",4.00%,>,"$4,000 ",4.00%,>,"$4,000 ",
1924,6.00%,>,"$8,000 ",6.00%,>,"$8,000 ",6.00%,>,"$8,000 ",6.00%,>,"$8,000 ",
1924,7.00%,>,"$10,000 ",7.00%,>,"$10,000 ",7.00%,>,"$10,000 ",7.00%,>,"$10,000 ",
1924,8.00%,>,"$14,000 ",8.00%,>,"$14,000 ",8.00%,>,"$14,000 ",8.00%,>,"$14,000 ",
1924,9.00%,>,"$16,000 ",9.00%,>,"$16,000 ",9.00%,>,"$16,000 ",9.00%,>,"$16,000 ",
1924,10.00%,>,"$18,000 ",10.00%,>,"$18,000 ",10.00%,>,"$18,000 ",10.00%,>,"$18,000 ",
1924,11.00%,>,"$20,000 ",11.00%,>,"$20,000 ",11.00%,>,"$20,000 ",11.00%,>,"$20,000 ",
1924,12.00%,>,"$22,000 ",12.00%,>,"$22,000 ",12.00%,>,"$22,000 ",12.00%,>,"$22,000 ",
1924,13.00%,>,"$24,000 ",13.00%,>,"$24,000 ",13.00%,>,"$24,000 ",13.00%,>,"$24,000 ",
1924,14.00%,>,"$26,000 ",14.00%,>,"$26,000 ",14.00%,>,"$26,000 ",14.00%,>,"$26,000 ",
1924,15.00%,>,"$28,000 ",15.00%,>,"$28,000 ",15.00%,>,"$28,000 ",15.00%,>,"$28,000 ",
1924,16.00%,>,"$30,000 ",16.00%,>,"$30,000 ",16.00%,>,"$30,000 ",16.00%,>,"$30,000 ",
1924,17.00%,>,"$34,000 ",17.00%,>,"$34,000 ",17.00%,>,"$34,000 ",17.00%,>,"$34,000 ",
1924,18.00%,>,"$36,000 ",18.00%,>,"$36,000 ",18.00%,>,"$36,000 ",18.00%,>,"$36,000 ",
1924,19.00%,>,"$38,000 ",19.00%,>,"$38,000 ",19.00%,>,"$38,000 ",19.00%,>,"$38,000 ",
1924,20.00%,>,"$42,000 ",20.00%,>,"$42,000 ",20.00%,>,"$42,000 ",20.00%,>,"$42,000 ",
1924,21.00%,>,"$44,000 ",21.00%,>,"$44,000 ",21.00%,>,"$44,000 ",21.00%,>,"$44,000 ",
1924,22.00%,>,"$46,000 ",22.00%,>,"$46,000 ",22.00%,>,"$46,000 ",22.00%,>,"$46,000 ",
1924,23.00%,>,"$48,000 ",23.00%,>,"$48,000 ",23.00%,>,"$48,000 ",23.00%,>,"$48,000 ",
1924,24.00%,>,"$50,000 ",24.00%,>,"$50,000 ",24.00%,>,"$50,000 ",24.00%,>,"$50,000 ",
1924,25.00%,>,"$52,000 ",25.00%,>,"$52,000 ",25.00%,>,"$52,000 ",25.00%,>,"$52,000 ",
1924,26.00%,>,"$56,000 ",26.00%,>,"$56,000 ",26.00%,>,"$56,000 ",26.00%,>,"$56,000 ",
1924,27.00%,>,"$58,000 ",27.00%,>,"$58,000 ",27.00%,>,"$58,000 ",27.00%,>,"$58,000 ",
1924,28.00%,>,"$62,000 ",28.00%,>,"$62,000 ",28.00%,>,"$62,000 ",28.00%,>,"$62,000 ",
1924,29.00%,>,"$64,000 ",29.00%,>,"$64,000 ",29.00%,>,"$64,000 ",29.00%,>,"$64,000 ",
1924,30.00%,>,"$66,000 ",30.00%,>,"$66,000 ",30.00%,>,"$66,000 ",30.00%,>,"$66,000 ",
1924,31.00%,>,"$68,000 ",31.00%,>,"$68,000 ",31.00%,>,"$68,000 ",31.00%,>,"$68,000 ",
1924,32.00%,>,"$70,000 ",32.00%,>,"$70,000 ",32.00%,>,"$70,000 ",32.00%,>,"$70,000 ",
1924,33.00%,>,"$74,000 ",33.00%,>,"$74,000 ",33.00%,>,"$74,000 ",33.00%,>,"$74,000 ",
1924,34.00%,>,"$76,000 ",34.00%,>,"$76,000 ",34.00%,>,"$76,000 ",34.00%,>,"$76,000 ",
1924,35.00%,>,"$80,000 ",35.00%,>,"$80,000 ",35.00%,>,"$80,000 ",35.00%,>,"$80,000 ",
1924,36.00%,>,"$82,000 ",36.00%,>,"$82,000 ",36.00%,>,"$82,000 ",36.00%,>,"$82,000 ",
1924,37.00%,>,"$84,000 ",37.00%,>,"$84,000 ",37.00%,>,"$84,000 ",37.00%,>,"$84,000 ",
1924,38.00%,>,"$88,000 ",38.00%,>,"$88,000 ",38.00%,>,"$88,000 ",38.00%,>,"$88,000 ",
1924,39.00%,>,"$90,000 ",39.00%,>,"$90,000 ",39.00%,>,"$90,000 ",39.00%,>,"$90,000 ",
1924,40.00%,>,"$92,000 ",40.00%,>,"$92,000 ",40.00%,>,"$92,000 ",40.00%,>,"$92,000 ",
1924,41.00%,>,"$94,000 ",41.00%,>,"$94,000 ",41.00%,>,"$94,000 ",41.00%,>,"$94,000 ",
1924,42.00%,>,"$96,000 ",42.00%,>,"$96,000 ",42.00%,>,"$96,000 ",42.00%,>,"$96,000 ",
1924,43.00%,>,"$100,000 ",43.00%,>,"$100,000 ",43.00%,>,"$100,000 ",43.00%,>,"$100,000 ",
1924,44.00%,>,"$200,000 ",44.00%,>,"$200,000 ",44.00%,>,"$200,000 ",44.00%,>,"$200,000 ",
1924,45.00%,>,"$300,000 ",45.00%,>,"$300,000 ",45.00%,>,"$300,000 ",45.00%,>,"$300,000 ",
1924,46.00%,>,"$500,000 ",46.00%,>,"$500,000 ",46.00%,>,"$500,000 ",46.00%,>,"$500,000 ",
,,,,,,,,,,,,,
1923,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,"Tax rates include normal tax plus applicable surtaxes. Tax for 1923 was reduced 25 percent by credit or refund under the Revenue Act of 1924, so the IRS reports the top and bottom rates as 3% and 43.5% at http://www.irs.gov/pub/irs-soi/02inpetr.pdf. Last law to change rates was the Revenue Act of 1921."
1923,8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",
1923,9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",
1923,10.00%,>,"$10,000 ",10.00%,>,"$10,000 ",10.00%,>,"$10,000 ",10.00%,>,"$10,000 ",
1923,11.00%,>,"$12,000 ",11.00%,>,"$12,000 ",11.00%,>,"$12,000 ",11.00%,>,"$12,000 ",
1923,12.00%,>,"$14,000 ",12.00%,>,"$14,000 ",12.00%,>,"$14,000 ",12.00%,>,"$14,000 ",
1923,13.00%,>,"$16,000 ",13.00%,>,"$16,000 ",13.00%,>,"$16,000 ",13.00%,>,"$16,000 ",
1923,14.00%,>,"$18,000 ",14.00%,>,"$18,000 ",14.00%,>,"$18,000 ",14.00%,>,"$18,000 ",
1923,16.00%,>,"$20,000 ",16.00%,>,"$20,000 ",16.00%,>,"$20,000 ",16.00%,>,"$20,000 ",
1923,17.00%,>,"$22,000 ",17.00%,>,"$22,000 ",17.00%,>,"$22,000 ",17.00%,>,"$22,000 ",
1923,18.00%,>,"$24,000 ",18.00%,>,"$24,000 ",18.00%,>,"$24,000 ",18.00%,>,"$24,000 ",
1923,19.00%,>,"$26,000 ",19.00%,>,"$26,000 ",19.00%,>,"$26,000 ",19.00%,>,"$26,000 ",
1923,20.00%,>,"$28,000 ",20.00%,>,"$28,000 ",20.00%,>,"$28,000 ",20.00%,>,"$28,000 ",
1923,21.00%,>,"$30,000 ",21.00%,>,"$30,000 ",21.00%,>,"$30,000 ",21.00%,>,"$30,000 ",
1923,23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",
1923,24.00%,>,"$36,000 ",24.00%,>,"$36,000 ",24.00%,>,"$36,000 ",24.00%,>,"$36,000 ",
1923,25.00%,>,"$38,000 ",25.00%,>,"$38,000 ",25.00%,>,"$38,000 ",25.00%,>,"$38,000 ",
1923,26.00%,>,"$40,000 ",26.00%,>,"$40,000 ",26.00%,>,"$40,000 ",26.00%,>,"$40,000 ",
1923,27.00%,>,"$42,000 ",27.00%,>,"$42,000 ",27.00%,>,"$42,000 ",27.00%,>,"$42,000 ",
1923,28.00%,>,"$44,000 ",28.00%,>,"$44,000 ",28.00%,>,"$44,000 ",28.00%,>,"$44,000 ",
1923,29.00%,>,"$46,000 ",29.00%,>,"$46,000 ",29.00%,>,"$46,000 ",29.00%,>,"$46,000 ",
1923,30.00%,>,"$48,000 ",30.00%,>,"$48,000 ",30.00%,>,"$48,000 ",30.00%,>,"$48,000 ",
1923,31.00%,>,"$50,000 ",31.00%,>,"$50,000 ",31.00%,>,"$50,000 ",31.00%,>,"$50,000 ",
1923,32.00%,>,"$52,000 ",32.00%,>,"$52,000 ",32.00%,>,"$52,000 ",32.00%,>,"$52,000 ",
1923,33.00%,>,"$54,000 ",33.00%,>,"$54,000 ",33.00%,>,"$54,000 ",33.00%,>,"$54,000 ",
1923,34.00%,>,"$56,000 ",34.00%,>,"$56,000 ",34.00%,>,"$56,000 ",34.00%,>,"$56,000 ",
1923,35.00%,>,"$58,000 ",35.00%,>,"$58,000 ",35.00%,>,"$58,000 ",35.00%,>,"$58,000 ",
1923,36.00%,>,"$60,000 ",36.00%,>,"$60,000 ",36.00%,>,"$60,000 ",36.00%,>,"$60,000 ",
1923,37.00%,>,"$62,000 ",37.00%,>,"$62,000 ",37.00%,>,"$62,000 ",37.00%,>,"$62,000 ",
1923,38.00%,>,"$64,000 ",38.00%,>,"$64,000 ",38.00%,>,"$64,000 ",38.00%,>,"$64,000 ",
1923,39.00%,>,"$66,000 ",39.00%,>,"$66,000 ",39.00%,>,"$66,000 ",39.00%,>,"$66,000 ",
1923,40.00%,>,"$68,000 ",40.00%,>,"$68,000 ",40.00%,>,"$68,000 ",40.00%,>,"$68,000 ",
1923,41.00%,>,"$70,000 ",41.00%,>,"$70,000 ",41.00%,>,"$70,000 ",41.00%,>,"$70,000 ",
1923,42.00%,>,"$72,000 ",42.00%,>,"$72,000 ",42.00%,>,"$72,000 ",42.00%,>,"$72,000 ",
1923,43.00%,>,"$74,000 ",43.00%,>,"$74,000 ",43.00%,>,"$74,000 ",43.00%,>,"$74,000 ",
1923,44.00%,>,"$76,000 ",44.00%,>,"$76,000 ",44.00%,>,"$76,000 ",44.00%,>,"$76,000 ",
1923,45.00%,>,"$78,000 ",45.00%,>,"$78,000 ",45.00%,>,"$78,000 ",45.00%,>,"$78,000 ",
1923,46.00%,>,"$80,000 ",46.00%,>,"$80,000 ",46.00%,>,"$80,000 ",46.00%,>,"$80,000 ",
1923,47.00%,>,"$82,000 ",47.00%,>,"$82,000 ",47.00%,>,"$82,000 ",47.00%,>,"$82,000 ",
1923,48.00%,>,"$84,000 ",48.00%,>,"$84,000 ",48.00%,>,"$84,000 ",48.00%,>,"$84,000 ",
1923,49.00%,>,"$86,000 ",49.00%,>,"$86,000 ",49.00%,>,"$86,000 ",49.00%,>,"$86,000 ",
1923,50.00%,>,"$88,000 ",50.00%,>,"$88,000 ",50.00%,>,"$88,000 ",50.00%,>,"$88,000 ",
1923,51.00%,>,"$90,000 ",51.00%,>,"$90,000 ",51.00%,>,"$90,000 ",51.00%,>,"$90,000 ",
1923,52.00%,>,"$92,000 ",52.00%,>,"$92,000 ",52.00%,>,"$92,000 ",52.00%,>,"$92,000 ",
1923,53.00%,>,"$94,000 ",53.00%,>,"$94,000 ",53.00%,>,"$94,000 ",53.00%,>,"$94,000 ",
1923,54.00%,>,"$96,000 ",54.00%,>,"$96,000 ",54.00%,>,"$96,000 ",54.00%,>,"$96,000 ",
1923,55.00%,>,"$98,000 ",55.00%,>,"$98,000 ",55.00%,>,"$98,000 ",55.00%,>,"$98,000 ",
1923,56.00%,>,"$100,000 ",56.00%,>,"$100,000 ",56.00%,>,"$100,000 ",56.00%,>,"$100,000 ",
1923,57.00%,>,"$150,000 ",57.00%,>,"$150,000 ",57.00%,>,"$150,000 ",57.00%,>,"$150,000 ",
1923,58.00%,>,"$200,000 ",58.00%,>,"$200,000 ",58.00%,>,"$200,000 ",58.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1922,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,"Tax rates include normal taxes of 4 percent on the first $4,000 of taxable income and 8 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1921."
1922,8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",
1922,9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",9.00%,>,"$6,000 ",
1922,10.00%,>,"$10,000 ",10.00%,>,"$10,000 ",10.00%,>,"$10,000 ",10.00%,>,"$10,000 ",
1922,11.00%,>,"$12,000 ",11.00%,>,"$12,000 ",11.00%,>,"$12,000 ",11.00%,>,"$12,000 ",
1922,12.00%,>,"$14,000 ",12.00%,>,"$14,000 ",12.00%,>,"$14,000 ",12.00%,>,"$14,000 ",
1922,13.00%,>,"$16,000 ",13.00%,>,"$16,000 ",13.00%,>,"$16,000 ",13.00%,>,"$16,000 ",
1922,14.00%,>,"$18,000 ",14.00%,>,"$18,000 ",14.00%,>,"$18,000 ",14.00%,>,"$18,000 ",
1922,16.00%,>,"$20,000 ",16.00%,>,"$20,000 ",16.00%,>,"$20,000 ",16.00%,>,"$20,000 ",
1922,17.00%,>,"$22,000 ",17.00%,>,"$22,000 ",17.00%,>,"$22,000 ",17.00%,>,"$22,000 ",
1922,18.00%,>,"$24,000 ",18.00%,>,"$24,000 ",18.00%,>,"$24,000 ",18.00%,>,"$24,000 ",
1922,19.00%,>,"$26,000 ",19.00%,>,"$26,000 ",19.00%,>,"$26,000 ",19.00%,>,"$26,000 ",
1922,20.00%,>,"$28,000 ",20.00%,>,"$28,000 ",20.00%,>,"$28,000 ",20.00%,>,"$28,000 ",
1922,21.00%,>,"$30,000 ",21.00%,>,"$30,000 ",21.00%,>,"$30,000 ",21.00%,>,"$30,000 ",
1922,23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",
1922,24.00%,>,"$36,000 ",24.00%,>,"$36,000 ",24.00%,>,"$36,000 ",24.00%,>,"$36,000 ",
1922,25.00%,>,"$38,000 ",25.00%,>,"$38,000 ",25.00%,>,"$38,000 ",25.00%,>,"$38,000 ",
1922,26.00%,>,"$40,000 ",26.00%,>,"$40,000 ",26.00%,>,"$40,000 ",26.00%,>,"$40,000 ",
1922,27.00%,>,"$42,000 ",27.00%,>,"$42,000 ",27.00%,>,"$42,000 ",27.00%,>,"$42,000 ",
1922,28.00%,>,"$44,000 ",28.00%,>,"$44,000 ",28.00%,>,"$44,000 ",28.00%,>,"$44,000 ",
1922,29.00%,>,"$46,000 ",29.00%,>,"$46,000 ",29.00%,>,"$46,000 ",29.00%,>,"$46,000 ",
1922,30.00%,>,"$48,000 ",30.00%,>,"$48,000 ",30.00%,>,"$48,000 ",30.00%,>,"$48,000 ",
1922,31.00%,>,"$50,000 ",31.00%,>,"$50,000 ",31.00%,>,"$50,000 ",31.00%,>,"$50,000 ",
1922,32.00%,>,"$52,000 ",32.00%,>,"$52,000 ",32.00%,>,"$52,000 ",32.00%,>,"$52,000 ",
1922,33.00%,>,"$54,000 ",33.00%,>,"$54,000 ",33.00%,>,"$54,000 ",33.00%,>,"$54,000 ",
1922,34.00%,>,"$56,000 ",34.00%,>,"$56,000 ",34.00%,>,"$56,000 ",34.00%,>,"$56,000 ",
1922,35.00%,>,"$58,000 ",35.00%,>,"$58,000 ",35.00%,>,"$58,000 ",35.00%,>,"$58,000 ",
1922,36.00%,>,"$60,000 ",36.00%,>,"$60,000 ",36.00%,>,"$60,000 ",36.00%,>,"$60,000 ",
1922,37.00%,>,"$62,000 ",37.00%,>,"$62,000 ",37.00%,>,"$62,000 ",37.00%,>,"$62,000 ",
1922,38.00%,>,"$64,000 ",38.00%,>,"$64,000 ",38.00%,>,"$64,000 ",38.00%,>,"$64,000 ",
1922,39.00%,>,"$66,000 ",39.00%,>,"$66,000 ",39.00%,>,"$66,000 ",39.00%,>,"$66,000 ",
1922,40.00%,>,"$68,000 ",40.00%,>,"$68,000 ",40.00%,>,"$68,000 ",40.00%,>,"$68,000 ",
1922,41.00%,>,"$70,000 ",41.00%,>,"$70,000 ",41.00%,>,"$70,000 ",41.00%,>,"$70,000 ",
1922,42.00%,>,"$72,000 ",42.00%,>,"$72,000 ",42.00%,>,"$72,000 ",42.00%,>,"$72,000 ",
1922,43.00%,>,"$74,000 ",43.00%,>,"$74,000 ",43.00%,>,"$74,000 ",43.00%,>,"$74,000 ",
1922,44.00%,>,"$76,000 ",44.00%,>,"$76,000 ",44.00%,>,"$76,000 ",44.00%,>,"$76,000 ",
1922,45.00%,>,"$78,000 ",45.00%,>,"$78,000 ",45.00%,>,"$78,000 ",45.00%,>,"$78,000 ",
1922,46.00%,>,"$80,000 ",46.00%,>,"$80,000 ",46.00%,>,"$80,000 ",46.00%,>,"$80,000 ",
1922,47.00%,>,"$82,000 ",47.00%,>,"$82,000 ",47.00%,>,"$82,000 ",47.00%,>,"$82,000 ",
1922,48.00%,>,"$84,000 ",48.00%,>,"$84,000 ",48.00%,>,"$84,000 ",48.00%,>,"$84,000 ",
1922,49.00%,>,"$86,000 ",49.00%,>,"$86,000 ",49.00%,>,"$86,000 ",49.00%,>,"$86,000 ",
1922,50.00%,>,"$88,000 ",50.00%,>,"$88,000 ",50.00%,>,"$88,000 ",50.00%,>,"$88,000 ",
1922,51.00%,>,"$90,000 ",51.00%,>,"$90,000 ",51.00%,>,"$90,000 ",51.00%,>,"$90,000 ",
1922,52.00%,>,"$92,000 ",52.00%,>,"$92,000 ",52.00%,>,"$92,000 ",52.00%,>,"$92,000 ",
1922,53.00%,>,"$94,000 ",53.00%,>,"$94,000 ",53.00%,>,"$94,000 ",53.00%,>,"$94,000 ",
1922,54.00%,>,"$96,000 ",54.00%,>,"$96,000 ",54.00%,>,"$96,000 ",54.00%,>,"$96,000 ",
1922,55.00%,>,"$98,000 ",55.00%,>,"$98,000 ",55.00%,>,"$98,000 ",55.00%,>,"$98,000 ",
1922,56.00%,>,"$100,000 ",56.00%,>,"$100,000 ",56.00%,>,"$100,000 ",56.00%,>,"$100,000 ",
1922,57.00%,>,"$150,000 ",57.00%,>,"$150,000 ",57.00%,>,"$150,000 ",57.00%,>,"$150,000 ",
1922,58.00%,>,"$200,000 ",58.00%,>,"$200,000 ",58.00%,>,"$200,000 ",58.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1921,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,Tax rates include normal taxes plus applicable surtaxes. Last law to change rates was the Revenue Act of 1921.
1921,8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",8.00%,>,"$4,000 ",
1921,9.00%,>,"$5,000 ",9.00%,>,"$5,000 ",9.00%,>,"$5,000 ",9.00%,>,"$5,000 ",
1921,10.00%,>,"$6,000 ",10.00%,>,"$6,000 ",10.00%,>,"$6,000 ",10.00%,>,"$6,000 ",
1921,11.00%,>,"$8,000 ",11.00%,>,"$8,000 ",11.00%,>,"$8,000 ",11.00%,>,"$8,000 ",
1921,12.00%,>,"$10,000 ",12.00%,>,"$10,000 ",12.00%,>,"$10,000 ",12.00%,>,"$10,000 ",
1921,13.00%,>,"$12,000 ",13.00%,>,"$12,000 ",13.00%,>,"$12,000 ",13.00%,>,"$12,000 ",
1921,14.00%,>,"$14,000 ",14.00%,>,"$14,000 ",14.00%,>,"$14,000 ",14.00%,>,"$14,000 ",
1921,15.00%,>,"$16,000 ",15.00%,>,"$16,000 ",15.00%,>,"$16,000 ",15.00%,>,"$16,000 ",
1921,16.00%,>,"$18,000 ",16.00%,>,"$18,000 ",16.00%,>,"$18,000 ",16.00%,>,"$18,000 ",
1921,17.00%,>,"$20,000 ",17.00%,>,"$20,000 ",17.00%,>,"$20,000 ",17.00%,>,"$20,000 ",
1921,18.00%,>,"$22,000 ",18.00%,>,"$22,000 ",18.00%,>,"$22,000 ",18.00%,>,"$22,000 ",
1921,19.00%,>,"$24,000 ",19.00%,>,"$24,000 ",19.00%,>,"$24,000 ",19.00%,>,"$24,000 ",
1921,20.00%,>,"$26,000 ",20.00%,>,"$26,000 ",20.00%,>,"$26,000 ",20.00%,>,"$26,000 ",
1921,21.00%,>,"$28,000 ",21.00%,>,"$28,000 ",21.00%,>,"$28,000 ",21.00%,>,"$28,000 ",
1921,22.00%,>,"$30,000 ",22.00%,>,"$30,000 ",22.00%,>,"$30,000 ",22.00%,>,"$30,000 ",
1921,23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",23.00%,>,"$32,000 ",
1921,24.00%,>,"$34,000 ",24.00%,>,"$34,000 ",24.00%,>,"$34,000 ",24.00%,>,"$34,000 ",
1921,25.00%,>,"$36,000 ",25.00%,>,"$36,000 ",25.00%,>,"$36,000 ",25.00%,>,"$36,000 ",
1921,26.00%,>,"$38,000 ",26.00%,>,"$38,000 ",26.00%,>,"$38,000 ",26.00%,>,"$38,000 ",
1921,27.00%,>,"$40,000 ",27.00%,>,"$40,000 ",27.00%,>,"$40,000 ",27.00%,>,"$40,000 ",
1921,28.00%,>,"$42,000 ",28.00%,>,"$42,000 ",28.00%,>,"$42,000 ",28.00%,>,"$42,000 ",
1921,29.00%,>,"$44,000 ",29.00%,>,"$44,000 ",29.00%,>,"$44,000 ",29.00%,>,"$44,000 ",
1921,30.00%,>,"$46,000 ",30.00%,>,"$46,000 ",30.00%,>,"$46,000 ",30.00%,>,"$46,000 ",
1921,31.00%,>,"$48,000 ",31.00%,>,"$48,000 ",31.00%,>,"$48,000 ",31.00%,>,"$48,000 ",
1921,32.00%,>,"$50,000 ",32.00%,>,"$50,000 ",32.00%,>,"$50,000 ",32.00%,>,"$50,000 ",
1921,33.00%,>,"$52,000 ",33.00%,>,"$52,000 ",33.00%,>,"$52,000 ",33.00%,>,"$52,000 ",
1921,34.00%,>,"$54,000 ",34.00%,>,"$54,000 ",34.00%,>,"$54,000 ",34.00%,>,"$54,000 ",
1921,35.00%,>,"$56,000 ",35.00%,>,"$56,000 ",35.00%,>,"$56,000 ",35.00%,>,"$56,000 ",
1921,36.00%,>,"$58,000 ",36.00%,>,"$58,000 ",36.00%,>,"$58,000 ",36.00%,>,"$58,000 ",
1921,37.00%,>,"$60,000 ",37.00%,>,"$60,000 ",37.00%,>,"$60,000 ",37.00%,>,"$60,000 ",
1921,38.00%,>,"$62,000 ",38.00%,>,"$62,000 ",38.00%,>,"$62,000 ",38.00%,>,"$62,000 ",
1921,39.00%,>,"$64,000 ",39.00%,>,"$64,000 ",39.00%,>,"$64,000 ",39.00%,>,"$64,000 ",
1921,40.00%,>,"$66,000 ",40.00%,>,"$66,000 ",40.00%,>,"$66,000 ",40.00%,>,"$66,000 ",
1921,41.00%,>,"$68,000 ",41.00%,>,"$68,000 ",41.00%,>,"$68,000 ",41.00%,>,"$68,000 ",
1921,42.00%,>,"$70,000 ",42.00%,>,"$70,000 ",42.00%,>,"$70,000 ",42.00%,>,"$70,000 ",
1921,43.00%,>,"$72,000 ",43.00%,>,"$72,000 ",43.00%,>,"$72,000 ",43.00%,>,"$72,000 ",
1921,44.00%,>,"$74,000 ",44.00%,>,"$74,000 ",44.00%,>,"$74,000 ",44.00%,>,"$74,000 ",
1921,45.00%,>,"$76,000 ",45.00%,>,"$76,000 ",45.00%,>,"$76,000 ",45.00%,>,"$76,000 ",
1921,46.00%,>,"$78,000 ",46.00%,>,"$78,000 ",46.00%,>,"$78,000 ",46.00%,>,"$78,000 ",
1921,47.00%,>,"$80,000 ",47.00%,>,"$80,000 ",47.00%,>,"$80,000 ",47.00%,>,"$80,000 ",
1921,48.00%,>,"$82,000 ",48.00%,>,"$82,000 ",48.00%,>,"$82,000 ",48.00%,>,"$82,000 ",
1921,49.00%,>,"$84,000 ",49.00%,>,"$84,000 ",49.00%,>,"$84,000 ",49.00%,>,"$84,000 ",
1921,50.00%,>,"$86,000 ",50.00%,>,"$86,000 ",50.00%,>,"$86,000 ",50.00%,>,"$86,000 ",
1921,51.00%,>,"$88,000 ",51.00%,>,"$88,000 ",51.00%,>,"$88,000 ",51.00%,>,"$88,000 ",
1921,52.00%,>,"$90,000 ",52.00%,>,"$90,000 ",52.00%,>,"$90,000 ",52.00%,>,"$90,000 ",
1921,53.00%,>,"$92,000 ",53.00%,>,"$92,000 ",53.00%,>,"$92,000 ",53.00%,>,"$92,000 ",
1921,54.00%,>,"$94,000 ",54.00%,>,"$94,000 ",54.00%,>,"$94,000 ",54.00%,>,"$94,000 ",
1921,55.00%,>,"$96,000 ",55.00%,>,"$96,000 ",55.00%,>,"$96,000 ",55.00%,>,"$96,000 ",
1921,56.00%,>,"$98,000 ",56.00%,>,"$98,000 ",56.00%,>,"$98,000 ",56.00%,>,"$98,000 ",
1921,60.00%,>,"$100,000 ",60.00%,>,"$100,000 ",60.00%,>,"$100,000 ",60.00%,>,"$100,000 ",
1921,64.00%,>,"$150,000 ",64.00%,>,"$150,000 ",64.00%,>,"$150,000 ",64.00%,>,"$150,000 ",
1921,68.00%,>,"$200,000 ",68.00%,>,"$200,000 ",68.00%,>,"$200,000 ",68.00%,>,"$200,000 ",
1921,71.00%,>,"$300,000 ",71.00%,>,"$300,000 ",71.00%,>,"$300,000 ",71.00%,>,"$300,000 ",
1921,72.00%,>,"$500,000 ",72.00%,>,"$500,000 ",72.00%,>,"$500,000 ",72.00%,>,"$500,000 ",
1921,73.00%,>,"$1,000,000 ",73.00%,>,"$1,000,000 ",73.00%,>,"$1,000,000 ",73.00%,>,"$1,000,000 ",
,,,,,,,,,,,,,
1920,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,4.00%,>,$0 ,Last law to change rates was the Revenue Act of 1918.
